Date,Ticker,ActualReturn,PredictedReturn
2001-01-18,4185.T,-0.021489878612392488,0.0028632664441908414
2001-01-23,4185.T,0.02196183579779243,0.00029626014990788224
2001-01-25,4185.T,0.007163229411434768,0.0007473899611130369
2001-01-26,4185.T,0.0014229731658286227,0.0016209778922362031
2001-02-05,4185.T,-0.0028412731959239768,0.0007027896765501206
2001-02-08,4185.T,0.005697854694798998,0.0005559459119354794
2001-02-09,4185.T,0.005666012264596176,0.0005670663836942072
2001-02-23,4185.T,-0.08450722414179468,0.0008937636875467536
2001-02-26,4185.T,0.03538459976354846,0.0004865517491461084
2001-03-02,4185.T,-0.016344655187313317,-0.003876679960962884
2001-03-06,4185.T,0.034742984402467814,-0.003019838186308747
2001-03-07,4185.T,0.014598673721391453,-0.0006957364723721035
2001-03-13,4185.T,-0.05899249011512586,-0.0020978758874754372
2001-03-14,4185.T,0.0,0.0017470395554070933
2001-03-15,4185.T,-0.04281359712158106,0.001288617597132237
2001-03-20,4185.T,0.01597415740966701,0.0031276051484313856
2001-03-21,4185.T,0.09591217570541999,0.0006052945740457471
2001-03-27,4185.T,0.08042017748229946,-0.012829078878607528
2001-04-03,4185.T,-0.0053335698684947586,-0.03318227317187206
2001-04-05,4185.T,0.032172188344159025,0.015746101284655336
2001-04-06,4185.T,-0.05194850433375897,-0.0001425801634523552
2001-04-10,4185.T,-0.02739714934473425,0.0013884750879789326
2001-05-04,4185.T,0.21831016194826036,0.0006795293638389925
2001-05-07,4185.T,-0.015029105734344794,0.011594339365805263
2001-05-11,4185.T,0.009389673306225088,0.08228370552695648
2001-05-14,4185.T,-0.0011625857499324432,-0.022973000433692894
2001-05-23,4185.T,0.1152500856109333,0.0012267534092072771
2001-05-24,4185.T,-0.00835073222711058,-0.022003786171815972
2001-05-31,4185.T,-0.0936841350541241,8.52532729872981e-05
2001-06-08,4185.T,0.10336808465745961,0.008191516582752018
2001-06-11,4185.T,0.01578956949087873,0.02202889663846449
2001-06-18,4185.T,-0.06943005816147285,-0.004921283430681251
2001-06-19,4185.T,0.0,0.007436703807996841
2001-06-25,4185.T,-0.005568027529367248,0.0011372544314721413
2001-06-26,4185.T,0.024635964296935375,0.0029063359979758473
2001-06-27,4185.T,0.0054645788814482454,0.0005723821235339901
2001-06-28,4185.T,0.004347826920889641,0.0006154021954379202
2001-07-02,4185.T,0.00974026160039898,0.0007281030004971391
2001-07-04,4185.T,-0.02143632584433297,0.0005893812517757228
2001-07-05,4185.T,-0.01423848749011758,0.0002882680712679777
2001-07-10,4185.T,-0.04444464051134245,0.000246711344432512
2001-07-12,4185.T,0.04534884651426374,0.002354793626162821
2001-07-13,4185.T,0.01779745818736278,0.0013990705611980842
2001-07-16,4185.T,-0.03278650902497804,-0.00999901729390278
2001-07-23,4185.T,-0.08474615304322541,0.002514854029114995
2001-07-24,4185.T,-0.02345657993644601,0.0005677957178336806
2001-07-25,4185.T,0.006321224763371047,0.005833720305276858
2001-07-26,4185.T,0.020100059145205407,0.00298770082262744
2001-08-01,4185.T,0.0,0.0023911306644428428
2001-08-06,4185.T,0.06527139896062284,0.00029154788565959245
2001-08-07,4185.T,-0.010404624277456698,-0.011410462976992022
2001-08-13,4185.T,-0.05373862697466392,-0.003199534794519462
2001-08-16,4185.T,0.03456791253060687,0.006006523616678457
2001-08-17,4185.T,-0.02028619201593107,0.00012219720497316067
2001-08-22,4185.T,-0.06090156130762403,0.00038978449820380575
2001-08-28,4185.T,-0.020751933596009686,0.0020686385620098317
2001-08-30,4185.T,-0.006622750278421519,0.001361106262090091
2001-09-04,4185.T,-0.11999973413322373,0.005187155111821211
2001-09-05,4185.T,0.01515131361582256,0.00959193046014025
2001-09-07,4185.T,0.03582076855278493,0.008733040354300147
2001-09-17,4185.T,-0.06195986063199721,-0.009917800941122205
2001-09-18,4185.T,-0.021505183250015047,-0.0013947004826982078
2001-09-25,4185.T,0.053361083116936436,0.010119234391974007
2001-09-26,4185.T,0.014970263023980301,0.00335343366037086
2001-10-03,4185.T,0.06637159714926777,2.1784420764084206e-06
2001-10-05,4185.T,0.005532747948894912,-0.016122458874590673
2001-10-15,4185.T,0.041265294568024746,-0.002683248580579637
2001-10-19,4185.T,-0.06737136083480477,-0.0007547810364121218
2001-10-24,4185.T,0.062323031644711646,-0.0042874833695860405
