,IONQ,QUBT,ONE.V,ACN,T,BIDU,GOOG,IBM,IFX.DE,INTC,AMZN,4185.T,LMT,MSFT,MIELY,NOK,NOC,QNC.V,RTX,RGTI,TOSYY
IONQ,14.491147056268755,-3729.7257080689474,-2.962054362669076,-4.355717792777618,0.1549442635672332,2.2657117760761367,63.89036816290521,0.8214997044995432,-18.846905638203534,-0.029127256698908637,5.841653554796945,19.408395987281782,0.07472654159398383,0.11271631472669827,-4.675396072281026,0.6175039812113078,1.0413611215911762,-0.298557388028737,0.03554499401893341,-0.1082665491740045,1.0770230734102075
QUBT,-3729.7257080689474,846765.856315497,743.3904050709606,-5422.263556597576,-790.2629331011402,-23428.814469754256,-81293.03869440894,-444.32417553442735,8234.374755697181,-119.71240492993753,-11537.228295399002,-168027.80588652327,-675.3779513960153,-1387.904572487793,-565.8092042018995,-1966.992629139076,-986.5167918663078,107.85525593800797,-77.82477398623223,0.0,1924.773528737071
ONE.V,-2.962054362669076,743.3904050709606,0.7533762520628338,-19.834812911900134,-1.4358061693461868,-18.973009040580017,-180.15738349716543,-1.3307174405628983,5.243725661862349,-1.6850916275869166,-73.81968259906922,-210.92683029748113,-1.7156046881417624,-2.3199181405012976,-1.4330935425097155,-0.7423062723474348,-2.7497560938112433,0.11690495458495191,-0.1895062981341402,-0.13533318646750567,1.9942379871954965
ACN,-4.355717792777618,-5422.263556597576,-19.834812911900134,6497.059320239962,253.74793403351512,1452.1896289702454,25001.04327897221,262.13165487004613,152.2193002177774,640.5596469613992,19713.874613773918,32616.011954552345,460.95955408320265,496.53934026233867,425.5843684284653,-84.8968722865554,612.2058272266171,-0.03626132534621019,45.786627769151195,0.04720420216472123,-24.928241771582638
T,0.1549442635672332,-790.2629331011402,-1.4358061693461868,253.74793403351512,78.39180831814848,196.5699008360179,2855.598474964229,164.79878421418925,2.0885922181147416,70.23676471368516,2928.1847740475127,1136.1410300310106,219.26962883414345,364.6928313808028,31.07904949516164,-4.7579222248842585,556.0740265371155,-0.012462158499715534,63.26443381525067,0.003086574863687021,-4.241878689561105
BIDU,2.2657117760761367,-23428.814469754256,-18.973009040580017,1452.1896289702454,196.5699008360179,5662.551437102763,18566.25097428793,102.83500121554516,-440.4496431747944,41.44038897609575,2461.4372971447265,9513.899940435635,144.6561586654373,365.4409108298342,172.75663880964132,266.13109475920663,175.62988842110994,-0.29131684822331894,19.62460438425899,0.6472798322550571,-222.65481271576678
GOOG,63.89036816290521,-81293.03869440894,-180.15738349716543,25001.04327897221,2855.598474964229,18566.25097428793,410415.51576575526,2245.1553292783015,-548.4951115131321,1597.7262288489183,59019.190957467734,111964.82295131823,1409.0766761447383,4262.494563579297,2516.041217833187,53.5526845317737,3696.0694667529992,-1.9256475487658318,298.0858511288632,-1.640084394246515,-281.78834581475735
IBM,0.8214997044995432,-444.32417553442735,-1.3307174405628983,262.13165487004613,164.79878421418925,102.83500121554516,2245.1553292783015,2000.5232871005985,10.38062897267816,354.62756580472023,1092.6671315724072,1378.0284360381052,3582.304048416717,793.2548141835505,21.84996928338464,-5.921644265291319,1887.8498305982232,-0.015212554457929125,1027.2141863429845,-0.008801743621158202,-1.6024023168076544
IFX.DE,-18.846905638203534,8234.374755697181,5.243725661862349,152.2193002177774,2.0885922181147416,-440.4496431747944,-548.4951115131321,10.38062897267816,126.33980526989768,39.75951589520003,2788.4716941823153,-533.8837956002117,36.89150052318331,14.374267832295738,21.868696726212228,-35.23267483403257,30.437432328288626,1.106437418200652,2.1412291784532704,-1.6463163371930323,36.301457521911566
INTC,-0.029127256698908637,-119.71240492993753,-1.6850916275869166,640.5596469613992,70.23676471368516,41.44038897609575,1597.7262288489183,354.62756580472023,39.75951589520003,234.37322680987236,5129.314282858976,4288.580656443123,920.1632958105943,327.17993560239387,53.935016285444526,-16.03720107518635,1121.9486072112816,-0.0017101561160634523,147.95486332693795,-0.00030041064840700054,-0.3423191608538794
AMZN,5.841653554796945,-11537.228295399002,-73.81968259906922,19713.874613773918,2928.1847740475127,2461.4372971447265,59019.190957467734,1092.6671315724072,2788.4716941823153,5129.314282858976,829979.4074246059,157841.1936312292,5501.284918354084,4401.6350628421815,5075.410561906588,-1315.6864194173277,8490.289522017858,-0.8359896549643108,605.7469673792085,0.09263875378504352,-48.45690206889822
4185.T,19.408395987281782,-168027.80588652327,-210.92683029748113,32616.011954552345,1136.1410300310106,9513.899940435635,111964.82295131823,1378.0284360381052,-533.8837956002117,4288.580656443123,157841.1936312292,460272.35798921285,3342.6087615645265,2626.3878072999873,2562.0084893508115,897.5750837574922,4104.853448328336,-25.522735053450305,259.9885907411719,0.0,-1167.7749937275617
LMT,0.07472654159398383,-675.3779513960153,-1.7156046881417624,460.95955408320265,219.26962883414345,144.6561586654373,1409.0766761447383,3582.304048416717,36.89150052318331,920.1632958105943,5501.284918354084,3342.6087615645265,10279.242294554373,903.8494514195124,57.07528190030675,-17.838101466926254,4286.804160608774,-0.015019159504636219,1503.859642818562,-0.001772917474549258,-6.680819900903169
MSFT,0.11271631472669827,-1387.904572487793,-2.3199181405012976,496.53934026233867,364.6928313808028,365.4409108298342,4262.494563579297,793.2548141835505,14.374267832295738,327.17993560239387,4401.6350628421815,2626.3878072999873,903.8494514195124,3503.895365446884,56.00325720388431,-0.8503667917368852,3077.0532497135246,0.005915485476228809,324.0553333560578,-0.0010573935111229443,-2.5199777085662745
MIELY,-4.675396072281026,-565.8092042018995,-1.4330935425097155,425.5843684284653,31.07904949516164,172.75663880964132,2516.041217833187,21.84996928338464,21.868696726212228,53.935016285444526,5075.410561906588,2562.0084893508115,57.07528190030675,56.00325720388431,64.38284713107495,-12.831103412438113,76.79774248707633,0.0654286845812542,5.734807748649953,0.0,-2.460158523494718
NOK,0.6175039812113078,-1966.992629139076,-0.7423062723474348,-84.8968722865554,-4.7579222248842585,266.13109475920663,53.5526845317737,-5.921644265291319,-35.23267483403257,-16.03720107518635,-1315.6864194173277,897.5750837574922,-17.838101466926254,-0.8503667917368852,-12.831103412438113,33.26281180398481,-22.715628337681203,-0.16394090711556125,-2.156608043294536,-0.014502000887925241,-21.148164661290927
NOC,1.0413611215911762,-986.5167918663078,-2.7497560938112433,612.2058272266171,556.0740265371155,175.62988842110994,3696.0694667529992,1887.8498305982232,30.437432328288626,1121.9486072112816,8490.289522017858,4104.853448328336,4286.804160608774,3077.0532497135246,76.79774248707633,-22.715628337681203,9946.238930793668,-0.10097464592741119,905.2074444288276,0.004858887351171387,0.4535842329688353
QNC.V,-0.298557388028737,107.85525593800797,0.11690495458495191,-0.03626132534621019,-0.012462158499715534,-0.29131684822331894,-1.9256475487658318,-0.015212554457929125,1.106437418200652,-0.0017101561160634523,-0.8359896549643108,-25.522735053450305,-0.015019159504636219,0.005915485476228809,0.0654286845812542,-0.16394090711556125,-0.10097464592741119,0.01659569806703503,-0.0003826748159562251,0.0,0.17402718117559293
RTX,0.03554499401893341,-77.82477398623223,-0.1895062981341402,45.786627769151195,63.26443381525067,19.62460438425899,298.0858511288632,1027.2141863429845,2.1412291784532704,147.95486332693795,605.7469673792085,259.9885907411719,1503.859642818562,324.0553333560578,5.734807748649953,-2.156608043294536,905.2074444288276,-0.0003826748159562251,607.3734418938246,0.0007639603801976808,-0.562674612081095
RGTI,-0.1082665491740045,0.0,-0.13533318646750567,0.04720420216472123,0.003086574863687021,0.6472798322550571,-1.640084394246515,-0.008801743621158202,-1.6463163371930323,-0.00030041064840700054,0.09263875378504352,0.0,-0.001772917474549258,-0.0010573935111229443,0.0,-0.014502000887925241,0.004858887351171387,0.0,0.0007639603801976808,0.4485332153320387,-0.014499408086216768
TOSYY,1.0770230734102075,1924.773528737071,1.9942379871954965,-24.928241771582638,-4.241878689561105,-222.65481271576678,-281.78834581475735,-1.6024023168076544,36.301457521911566,-0.3423191608538794,-48.45690206889822,-1167.7749937275617,-6.680819900903169,-2.5199777085662745,-2.460158523494718,-21.148164661290927,0.4535842329688353,0.17402718117559293,-0.562674612081095,-0.014499408086216768,24.354003300344605
