Ticker,Samples,DailyExpectedReturn,MAE,MSE,R2,Correlation,AnnualizedExpectedReturn
4185.T,1585,0.0007941081784626948,0.028726538855029658,0.0016764868733948513,-0.0642406654919967,-0.054077817056065854,0.22144654187289103
ACN,1585,0.0012259167268372972,0.02105635236433373,0.000992184653316585,-0.03200550055878515,-0.011576547755016672,0.36171074219987664
AMZN,1914,0.0035682849828344862,0.03927899249451949,0.004261935063029939,-0.000617656566397784,0.09171705190365761,1.453725071115548
BIDU,1272,0.0007075188415226525,0.0372074950015915,0.003156741100918683,-0.050374052766748445,-0.032713314264182364,0.19510219953680497
GOOG,1317,0.0019145998961180037,0.023048165542495634,0.0012366039445589065,-0.07559110747807618,-0.019378675337786193,0.6193387472866088
IBM,3909,0.000828309971014673,0.019289276628449252,0.0008276000869907433,-0.02674937855232762,-0.00713517418107787,0.2320108995751653
IFX.DE,1676,0.0003600931063863253,0.03729023238397636,0.003807941106681737,0.000887863167825742,0.10018316171898682,0.09497017853470968
INTC,3153,0.0014665030503114703,0.030974849308080456,0.002059384201150674,-0.018699084505328534,0.028343069484472648,0.44670427230157594
IONQ,81,-0.0020617510739383013,0.06669945220377214,0.017590664083741717,-0.19165399358441038,-0.33746137925099895,-0.40553748092101216
LMT,3440,0.0010704120584380246,0.02326437953564085,0.0012892515007922971,-0.029888244168420952,0.026075143331286934,0.3094400107850994
MIELY,1872,0.0007841614946160328,0.025736166697697488,0.0021116263052466744,-0.015162054856684426,0.016461291638681156,0.21839114952455008
MSFT,2662,0.001697978901901685,0.025249713543412208,0.0015499014175014449,-0.0032695008847114515,0.08858441116411608,0.5334618389126973
NOC,3082,0.0010234714067958828,0.021072824756837673,0.0010618430545210774,-0.028788633768111582,-0.05410971992122485,0.29405784854165984
NOK,2062,0.0007984697371441196,0.03539335753857415,0.0028376870362461968,-0.036132650513953424,-0.01413573980069944,0.22278871809303014
ONE.V,1659,0.0050953199660456125,0.071852549835236,0.02059561123660227,-0.022060557988569096,0.06851325521280337,2.5993758419988553
QNC.V,769,0.012066594857388658,0.11946206161492917,0.05875141322532563,0.001919173405519392,0.11210270183393024,19.544273115737944
QUBT,1143,0.06548374253617795,0.20716324171850198,1.6472080726032987,0.1437804156112088,0.41328884779159764,8745818.944685657
RTX,3932,0.0008982201648233557,0.021367207170841267,0.0009866829920807507,-0.03278317854449386,0.015803829799602473,0.25388895497148267
T,2822,0.0006300429337383012,0.01864045161960611,0.0007464011984286887,-0.0024019148739513607,0.0568917897876845,0.17201070384183792
TOSYY,925,0.0005455099837703167,0.02992286283384493,0.002148396373457633,-0.05022940368032591,0.002350124699956577,0.14732257735792031
